tb15id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
964,161,A34A7MN2SKHWUC,2,201,1,201102,2,99,100,94,,0
965,163,AVVXFDH5UUYLT,2,202,1,202104,4,80,76,75,,0
966,163,AVVXFDH5UUYLT,2,202,1,202105,5,63,64,66,,0
967,163,AVVXFDH5UUYLT,2,203,1,203101,1,69,72,72,,0
968,160,A219VCQZADQ45W,2,201,1,201101,1,73,59,62,,0
969,161,A34A7MN2SKHWUC,2,201,1,201103,3,98,99,97,,0
970,160,A219VCQZADQ45W,2,201,1,201102,2,83,37,49,,0
971,157,A30E7T1AHY9C59,2,203,1,203105,5,100,50,100,,0
972,159,A2B09H7FKW643D,2,202,1,202101,1,53,54,53,,0
973,161,A34A7MN2SKHWUC,2,202,1,202101,1,99,99,99,,0
974,160,A219VCQZADQ45W,2,201,1,201103,3,72,45,35,,0
975,163,AVVXFDH5UUYLT,2,203,1,203102,2,61,62,66,,0
976,160,A219VCQZADQ45W,2,201,1,201104,4,66,41,39,,0
977,161,A34A7MN2SKHWUC,2,202,1,202102,2,100,0,1,,0
978,159,A2B09H7FKW643D,2,202,1,202102,2,55,37,41,,0
979,160,A219VCQZADQ45W,2,202,1,202101,1,73,54,55,,0
980,161,A34A7MN2SKHWUC,2,202,1,202103,3,100,6,0,,0
981,160,A219VCQZADQ45W,2,202,1,202102,2,68,49,44,,0
982,159,A2B09H7FKW643D,2,202,1,202103,3,55,52,55,,0
983,161,A34A7MN2SKHWUC,2,202,1,202104,4,100,0,0,,0
984,160,A219VCQZADQ45W,2,202,1,202103,3,69,31,28,,0
985,159,A2B09H7FKW643D,2,202,1,202104,4,52,45,48,,0
986,160,A219VCQZADQ45W,2,202,1,202104,4,71,37,31,,0
987,161,A34A7MN2SKHWUC,2,203,1,203101,1,100,100,100,,0
988,160,A219VCQZADQ45W,2,202,1,202105,5,74,29,26,,0
989,159,A2B09H7FKW643D,2,202,1,202105,5,45,41,41,,0
990,161,A34A7MN2SKHWUC,2,203,1,203102,2,99,100,99,,0
991,160,A219VCQZADQ45W,2,203,1,203101,1,79,62,57,,0
992,161,A34A7MN2SKHWUC,2,203,1,203103,3,100,99,100,,0
993,160,A219VCQZADQ45W,2,203,1,203102,2,74,63,57,,0
994,164,AEKOPV99Z7L85,2,201,1,201101,1,92,36,60,,0
995,160,A219VCQZADQ45W,2,203,1,203103,3,76,38,41,,0
996,164,AEKOPV99Z7L85,2,201,1,201102,2,90,32,58,,0
997,164,AEKOPV99Z7L85,2,201,1,201103,3,97,43,28,,0
998,165,A3GIXWJIKMNUCV,2,201,1,201101,1,75,100,75,,21
999,164,AEKOPV99Z7L85,2,201,1,201104,4,84,73,33,,0
1000,165,A3GIXWJIKMNUCV,2,201,1,201102,2,100,54,64,,13
1001,164,AEKOPV99Z7L85,2,202,1,202101,1,100,58,43,,0
1002,164,AEKOPV99Z7L85,2,202,1,202102,2,100,55,44,,0
1003,165,A3GIXWJIKMNUCV,2,202,1,202101,1,52,100,67,,19
1004,166,A30F1XBP254OTI,2,201,1,201101,1,100,79,78,,23
1005,164,AEKOPV99Z7L85,2,202,1,202103,3,100,59,45,,0
1006,165,A3GIXWJIKMNUCV,2,202,1,202102,2,51,36,25,,19
1007,166,A30F1XBP254OTI,2,201,1,201102,2,100,0,0,,16
1008,165,A3GIXWJIKMNUCV,2,203,1,203101,1,87,100,68,,18
1009,165,A3GIXWJIKMNUCV,2,203,1,203102,2,56,84,75,,26
1010,166,A30F1XBP254OTI,2,201,1,201103,3,100,56,62,,20
1011,164,AEKOPV99Z7L85,2,202,1,202104,4,100,56,46,,0
1012,168,A1WXN7JJWET1LI,2,201,1,201101,1,100,92,99,,19
1013,165,A3GIXWJIKMNUCV,2,203,1,203103,3,100,60,47,,14
1014,168,A1WXN7JJWET1LI,2,201,1,201102,2,100,91,92,,17
1015,166,A30F1XBP254OTI,2,201,1,201104,4,83,71,66,,28
1016,165,A3GIXWJIKMNUCV,2,203,1,203104,4,66,5,22,,17
1017,167,A3J9EHZQ9PERAX,2,201,1,201101,1,96,71,74,,33
1018,166,A30F1XBP254OTI,2,201,1,201105,5,100,77,72,,9
1019,168,A1WXN7JJWET1LI,2,201,1,201103,3,100,93,90,,19
1020,167,A3J9EHZQ9PERAX,2,201,1,201102,2,97,77,86,,28
1021,168,A1WXN7JJWET1LI,2,201,1,201104,4,100,89,90,,15
1022,166,A30F1XBP254OTI,2,202,1,202101,1,16,100,30,,15
1023,168,A1WXN7JJWET1LI,2,201,1,201105,5,100,92,91,,19
1024,167,A3J9EHZQ9PERAX,2,201,1,201103,3,93,88,87,,23
1025,166,A30F1XBP254OTI,2,202,1,202102,2,17,19,71,,17
1026,168,A1WXN7JJWET1LI,2,203,1,203101,1,100,88,88,,18
1027,167,A3J9EHZQ9PERAX,2,201,1,201104,4,96,86,90,,21
1028,170,A34A7MN2SKHWUC,2,201,1,201101,1,100,100,100,,9
1029,166,A30F1XBP254OTI,2,202,1,202103,3,23,79,24,,13
1030,168,A1WXN7JJWET1LI,2,203,1,203102,2,100,89,95,,17
1031,170,A34A7MN2SKHWUC,2,201,1,201102,2,100,100,100,,13
1032,167,A3J9EHZQ9PERAX,2,201,1,201105,5,92,88,87,,25
1033,166,A30F1XBP254OTI,2,202,1,202104,4,24,71,68,,17
1034,168,A1WXN7JJWET1LI,2,203,1,203103,3,100,89,87,,18
1035,170,A34A7MN2SKHWUC,2,201,1,201103,3,100,100,100,,17
1036,166,A30F1XBP254OTI,2,202,1,202105,5,98,28,33,,11
1037,168,A1WXN7JJWET1LI,2,203,1,203104,4,100,84,78,,14
1038,167,A3J9EHZQ9PERAX,2,202,1,202101,1,87,76,69,,33
1039,170,A34A7MN2SKHWUC,2,201,1,201104,4,100,99,100,,15
1040,168,A1WXN7JJWET1LI,2,203,1,203105,5,100,85,88,,17
1041,167,A3J9EHZQ9PERAX,2,202,1,202102,2,75,64,60,,12
1042,170,A34A7MN2SKHWUC,2,202,1,202101,1,100,100,91,,11
1043,170,A34A7MN2SKHWUC,2,202,1,202102,2,100,0,4,,13
1044,170,A34A7MN2SKHWUC,2,202,1,202103,3,99,1,1,,10
1045,170,A34A7MN2SKHWUC,2,202,1,202104,4,100,0,1,,6
1046,170,A34A7MN2SKHWUC,2,203,1,203101,1,100,99,100,,13
1047,170,A34A7MN2SKHWUC,2,203,1,203102,2,99,100,100,,17
1048,172,A3UEM5FKJU9UDW,2,201,1,201101,1,74,93,75,,14
1049,170,A34A7MN2SKHWUC,2,203,1,203103,3,100,100,99,,13
1050,172,A3UEM5FKJU9UDW,2,201,1,201102,2,79,70,69,,18
1051,172,A3UEM5FKJU9UDW,2,201,1,201103,3,72,69,67,,16
1052,170,A34A7MN2SKHWUC,2,203,1,203104,4,99,99,99,,23
1053,169,A2Q9EDMARU6D1P,2,201,1,201101,1,75,59,55,,0
1054,170,A34A7MN2SKHWUC,2,203,1,203105,5,100,94,91,,18
1055,172,A3UEM5FKJU9UDW,2,202,1,202101,1,72,72,78,,20
1056,171,A22HX7JGLXHJQG,2,201,1,201101,1,98,96,41,,0
1057,172,A3UEM5FKJU9UDW,2,202,1,202102,2,86,4,13,,16
1058,172,A3UEM5FKJU9UDW,2,202,1,202103,3,83,13,0,,15
1059,171,A22HX7JGLXHJQG,2,201,1,201102,2,100,85,42,,0
1060,172,A3UEM5FKJU9UDW,2,203,1,203101,1,77,74,73,,26
1061,172,A3UEM5FKJU9UDW,2,203,1,203102,2,85,75,40,,16
1062,171,A22HX7JGLXHJQG,2,201,1,201103,3,97,92,43,,0
1063,169,A2Q9EDMARU6D1P,2,201,1,201102,2,65,65,53,,0
1064,172,A3UEM5FKJU9UDW,2,203,1,203103,3,68,37,63,,17
1065,171,A22HX7JGLXHJQG,2,201,1,201104,4,96,81,46,,0
1066,171,A22HX7JGLXHJQG,2,201,1,201105,5,97,85,47,,0
1067,173,A3N30TU7ZTLNB9,2,202,1,202101,1,100,76,84,,0
1068,173,A3N30TU7ZTLNB9,2,202,1,202102,2,100,0,0,,0
1069,173,A3N30TU7ZTLNB9,2,202,1,202103,3,100,21,18,,0
1070,173,A3N30TU7ZTLNB9,2,202,1,202104,4,100,19,18,,0
1071,174,A71WS46EWRAAM,2,201,1,201101,1,74,69,77,,0
1072,173,A3N30TU7ZTLNB9,2,202,1,202105,5,100,24,21,,0
1073,174,A71WS46EWRAAM,2,201,1,201102,2,100,83,86,,0
1074,173,A3N30TU7ZTLNB9,2,203,1,203101,1,100,51,51,,0
1075,174,A71WS46EWRAAM,2,201,1,201103,3,100,80,75,,0
1076,173,A3N30TU7ZTLNB9,2,203,1,203102,2,100,76,76,,0
1077,174,A71WS46EWRAAM,2,201,1,201104,4,100,68,73,,0
1078,173,A3N30TU7ZTLNB9,2,203,1,203103,3,100,85,80,,0
1079,174,A71WS46EWRAAM,2,201,1,201105,5,100,45,29,,0
1080,173,A3N30TU7ZTLNB9,2,203,1,203104,4,100,85,86,,0
1081,176,A2JSQET9OQ9PDM,2,201,1,201101,1,100,80,74,,23
1082,176,A2JSQET9OQ9PDM,2,201,1,201102,2,100,91,75,,19
1083,176,A2JSQET9OQ9PDM,2,201,1,201103,3,93,91,86,,15
1084,176,A2JSQET9OQ9PDM,2,202,1,202101,1,100,89,81,,21
1085,176,A2JSQET9OQ9PDM,2,202,1,202102,2,100,92,89,,14
1086,176,A2JSQET9OQ9PDM,2,203,1,203101,1,100,81,89,,19
1087,176,A2JSQET9OQ9PDM,2,203,1,203102,2,100,100,86,,26
1088,176,A2JSQET9OQ9PDM,2,203,1,203103,3,90,93,98,,20
1089,176,A2JSQET9OQ9PDM,2,203,1,203104,4,90,88,75,,13
1090,177,ABUXM7VAW5SKJ,2,201,1,201101,1,67,64,62,,0
1091,177,ABUXM7VAW5SKJ,2,201,1,201102,2,66,57,65,,0
1092,177,ABUXM7VAW5SKJ,2,201,1,201103,3,60,65,67,,0
1093,178,AEFJQOJ2TI62P,2,201,1,201101,1,98,37,56,,0
1094,177,ABUXM7VAW5SKJ,2,202,1,202101,1,74,71,64,,0
1095,178,AEFJQOJ2TI62P,2,201,1,201102,2,87,66,33,,0
1096,177,ABUXM7VAW5SKJ,2,203,1,203101,1,63,69,78,,0
1097,178,AEFJQOJ2TI62P,2,202,1,202101,1,61,84,92,,0
1098,178,AEFJQOJ2TI62P,2,202,1,202102,2,60,95,94,,0
1099,178,AEFJQOJ2TI62P,2,202,1,202103,3,81,100,95,,0
1100,178,AEFJQOJ2TI62P,2,202,1,202104,4,66,90,79,,0
1101,178,AEFJQOJ2TI62P,2,203,1,203101,1,87,84,96,,0
1102,179,A1E5OJK3FPV44C,2,203,1,203101,1,100,72,72,,0
1103,179,A1E5OJK3FPV44C,2,201,1,201101,1,100,67,68,,0
1104,179,A1E5OJK3FPV44C,2,201,1,201102,2,98,61,88,,0
1105,179,A1E5OJK3FPV44C,2,202,1,202101,1,100,84,85,,0
1106,179,A1E5OJK3FPV44C,2,202,1,202102,2,100,76,75,,0
1107,179,A1E5OJK3FPV44C,2,202,1,202103,3,100,63,67,,0
1108,180,A2Y5MFHO9MUJVM,2,201,1,201101,1,90,83,66,,0
1109,180,A2Y5MFHO9MUJVM,2,201,1,201102,2,100,97,79,,0
1110,180,A2Y5MFHO9MUJVM,2,201,1,201103,3,100,90,75,,0
1111,180,A2Y5MFHO9MUJVM,2,203,1,203101,1,92,92,84,,0
1112,182,A1B4227M08K866,2,201,1,201101,1,100,66,66,,39
1113,180,A2Y5MFHO9MUJVM,2,202,1,202101,1,87,87,81,,0
1114,182,A1B4227M08K866,2,201,1,201102,2,100,70,70,,19
1115,182,A1B4227M08K866,2,202,1,202101,1,100,75,75,,36
1116,181,A3EM49IJLS9JT0,2,203,1,203101,1,96,93,93,,0
1117,182,A1B4227M08K866,2,202,1,202102,2,100,75,75,,38
1118,182,A1B4227M08K866,2,202,1,202103,3,100,15,15,,21
1119,181,A3EM49IJLS9JT0,2,203,1,203102,2,90,83,88,,0
1120,182,A1B4227M08K866,2,203,1,203101,1,100,80,80,,20
1121,181,A3EM49IJLS9JT0,2,203,1,203103,3,86,89,86,,0
1122,183,A27SXNMM91NYZZ,2,201,1,201101,1,85,76,73,,0
1123,183,A27SXNMM91NYZZ,2,201,1,201102,2,73,10,8,,0
1124,184,A3RQQYXMERGXNT,2,201,1,201101,1,90,60,65,,0
1125,183,A27SXNMM91NYZZ,2,202,1,202101,1,95,75,80,,0
